,workload_info.name,composition,workload_profit,request_info.utility.name,allocation,workload_mode,budget.mode,budget.ModeConfig.Unlocking.slack,workload.mechanism_mix,workload.sub_mix,workload.pa_mix,round,profit_accepted_fraction_perround_mean,profit_accepted_fraction_perround_std,n_requests_accepted_fraction_perround_mean,n_requests_accepted_fraction_perround_std,profit_accepted_fraction_cum_mean,profit_accepted_fraction_cum_std,n_requests_accepted_fraction_cum_mean,n_requests_accepted_fraction_cum_std,allocation_status_<lambda>
14,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Fix,-,basic:GM-LM-RR-LSVT,sub25100,nopa,25,0.025387847059102804,0.002999276163373331,0.025387847059102804,0.002999276163373331,0.0427695506387535,0.0026643686145864714,0.0427695506387535,0.0026643686145864714,"{""{'Optimal': 24}"": 5}"
15,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Fix,-,basic:GM-LM-RR-LSVT,sub25100,nopa,26,0.0,0.0,0.0,0.0,0.0427695506387535,0.0026643686145864714,0.0427695506387535,0.0026643686145864714,"{""{'Optimal': 24}"": 5}"
16,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Fix,-,basic:GM-LM-RR-LSVT,sub25100,nopa,27,0.0,0.0,0.0,0.0,0.0427695506387535,0.0026643686145864714,0.0427695506387535,0.0026643686145864714,"{""{'Optimal': 24}"": 5}"
17,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Fix,-,basic:GM-LM-RR-LSVT,sub25100,nopa,28,0.0,0.0,0.0,0.0,0.0427695506387535,0.0026643686145864714,0.0427695506387535,0.0026643686145864714,"{""{'Optimal': 24}"": 5}"
18,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Fix,-,basic:GM-LM-RR-LSVT,sub25100,nopa,29,0.0,0.0,0.0,0.0,0.0427695506387535,0.0026643686145864714,0.0427695506387535,0.0026643686145864714,"{""{'Optimal': 24}"": 5}"
19,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Fix,-,basic:GM-LM-RR-LSVT,sub25100,nopa,30,0.0,0.0,0.0,0.0,0.0427695506387535,0.0026643686145864714,0.0427695506387535,0.0026643686145864714,"{""{'Optimal': 24}"": 5}"
20,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Fix,-,basic:GM-LM-RR-LSVT,sub25100,nopa,31,0.0,0.0,0.0,0.0,0.0427695506387535,0.0026643686145864714,0.0427695506387535,0.0026643686145864714,"{""{'Optimal': 24}"": 5}"
21,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Fix,-,basic:GM-LM-RR-LSVT,sub25100,nopa,32,0.0,0.0,0.0,0.0,0.0427695506387535,0.0026643686145864714,0.0427695506387535,0.0026643686145864714,"{""{'Optimal': 24}"": 5}"
22,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Fix,-,basic:GM-LM-RR-LSVT,sub25100,nopa,33,0.0,0.0,0.0,0.0,0.0427695506387535,0.0026643686145864714,0.0427695506387535,0.0026643686145864714,"{""{'Optimal': 24}"": 5}"
23,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Fix,-,basic:GM-LM-RR-LSVT,sub25100,nopa,34,0.0,0.0,0.0,0.0,0.0427695506387535,0.0026643686145864714,0.0427695506387535,0.0026643686145864714,"{""{'Optimal': 24}"": 5}"
24,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Fix,-,basic:GM-LM-RR-LSVT,sub25100,nopa,35,0.6498020408788198,0.03201919338052408,0.6498020408788198,0.03201919338052408,0.05917551227492981,0.002128567203510817,0.05917551227492981,0.002128567203510817,"{""{'Optimal': 24}"": 5}"
25,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Fix,-,basic:GM-LM-RR-LSVT,sub25100,nopa,36,0.2837260527919462,0.015667596666373348,0.2837260527919462,0.015667596666373348,0.06629990865670292,0.0024614461839900523,0.06629990865670292,0.0024614461839900523,"{""{'Optimal': 24}"": 5}"
26,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Fix,-,basic:GM-LM-RR-LSVT,sub25100,nopa,37,0.03922702743638686,0.00837709608034685,0.03922702743638686,0.00837709608034685,0.06728045432667094,0.002488223065933645,0.06728045432667094,0.002488223065933645,"{""{'Optimal': 24}"": 5}"
27,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Fix,-,basic:GM-LM-RR-LSVT,sub25100,nopa,38,0.00043010752688172043,0.000961749667741845,0.00043010752688172043,0.000961749667741845,0.06729032015145389,0.0024866310939485503,0.06729032015145389,0.0024866310939485503,"{""{'Optimal': 24}"": 5}"
28,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Fix,-,basic:GM-LM-RR-LSVT,sub25100,nopa,39,0.0,0.0,0.0,0.0,0.06729032015145389,0.0024866310939485503,0.06729032015145389,0.0024866310939485503,"{""{'Optimal': 24}"": 5}"
29,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Fix,-,basic:GM-LM-RR-LSVT,sub25100,nopa,40,0.0,0.0,0.0,0.0,0.06729032015145389,0.0024866310939485503,0.06729032015145389,0.0024866310939485503,"{""{'Optimal': 24}"": 5}"
