,suite_name,suite_id,exp_name,run,workload_info.name,workload.rep,allocation,composition,workload_mode,workload_profit,workload.mechanism_mix,workload.sub_mix,workload.pa_mix,budget.mode,budget.ModeConfig.Unlocking.slack,request_info.mechanism.name,allocation_status_all,profit_elephant_all,profit_hare_all,profit_mice_all,profit_elephant_accepted,profit_hare_accepted,profit_mice_accepted,profit_elephant_rejected,profit_hare_rejected,profit_mice_rejected,n_requests_elephant_all,n_requests_hare_all,n_requests_mice_all,n_requests_elephant_accepted,n_requests_hare_accepted,n_requests_mice_accepted,n_requests_elephant_rejected,n_requests_hare_rejected,n_requests_mice_rejected
15,sp_sub,1690826136,wl_big_mem,25,gm:GM-sub45-defpa,1,ilp,block-composition,upc,equal-ncd,gm:GM,sub45,nopa,Unlocking,0.4,GaussianMechanism,"{'Optimal': 36, 'TimeLimit': 4}",6659,6644,6681,2,893,6681,6657,5751,0,6659,6644,6681,2,893,6681,6657,5751,0
16,sp_sub,1690826136,wl_big_mem,26,gm:GM-sub65-defpa,1,ilp,block-composition,upc,equal-ncd,gm:GM,sub65,nopa,Unlocking,0.2,GaussianMechanism,"{'Optimal': 35, 'TimeLimit': 5}",6696,6748,6601,0,485,6601,6696,6263,0,6696,6748,6601,0,485,6601,6696,6263,0
17,sp_sub,1690826136,wl_big_mem,27,gm:GM-sub65-defpa,1,ilp,block-composition,upc,equal-ncd,gm:GM,sub65,nopa,Unlocking,0.4,GaussianMechanism,"{'Optimal': 39, 'TimeLimit': 1}",6696,6748,6601,0,500,6601,6696,6248,0,6696,6748,6601,0,500,6601,6696,6248,0
18,sp_sub,1690826136,wl_big_mem,28,gm:GM-sub85-defpa,1,ilp,block-composition,upc,equal-ncd,gm:GM,sub85,nopa,Unlocking,0.2,GaussianMechanism,"{'Optimal': 35, 'TimeLimit': 5}",6616,6663,6810,0,226,6810,6616,6437,0,6616,6663,6810,0,226,6810,6616,6437,0
19,sp_sub,1690826136,wl_big_mem,29,gm:GM-sub85-defpa,1,ilp,block-composition,upc,equal-ncd,gm:GM,sub85,nopa,Unlocking,0.4,GaussianMechanism,"{'Optimal': 37, 'TimeLimit': 3}",6616,6663,6810,0,235,6805,6616,6428,5,6616,6663,6810,0,235,6805,6616,6428,5
20,sp_sub,1690826136,wl_big_mem,40,gm:GM-sub5-defpa,2,ilp,block-composition,upc,equal-ncd,gm:GM,sub5,nopa,Unlocking,0.2,GaussianMechanism,"{'Optimal': 38, 'TimeLimit': 2}",6839,6770,6803,430,6770,6803,6409,0,0,6839,6770,6803,430,6770,6803,6409,0,0
21,sp_sub,1690826136,wl_big_mem,41,gm:GM-sub5-defpa,2,ilp,block-composition,upc,equal-ncd,gm:GM,sub5,nopa,Unlocking,0.4,GaussianMechanism,{'Optimal': 40},6839,6770,6803,443,6770,6803,6396,0,0,6839,6770,6803,443,6770,6803,6396,0,0
22,sp_sub,1690826136,wl_big_mem,42,gm:GM-sub25-defpa,2,ilp,block-composition,upc,equal-ncd,gm:GM,sub25,nopa,Unlocking,0.2,GaussianMechanism,"{'Optimal': 33, 'TimeLimit': 7}",6587,6656,6714,17,1787,6714,6570,4869,0,6587,6656,6714,17,1787,6714,6570,4869,0
23,sp_sub,1690826136,wl_big_mem,43,gm:GM-sub25-defpa,2,ilp,block-composition,upc,equal-ncd,gm:GM,sub25,nopa,Unlocking,0.4,GaussianMechanism,"{'Optimal': 37, 'TimeLimit': 3}",6587,6656,6714,20,1783,6714,6567,4873,0,6587,6656,6714,20,1783,6714,6567,4873,0
24,sp_sub,1690826136,wl_big_mem,44,gm:GM-sub45-defpa,2,ilp,block-composition,upc,equal-ncd,gm:GM,sub45,nopa,Unlocking,0.2,GaussianMechanism,"{'Optimal': 36, 'TimeLimit': 4}",6664,6791,6726,3,864,6726,6661,5927,0,6664,6791,6726,3,864,6726,6661,5927,0
