workload.sub_mix,upc,poisson,improvement_factor
sub5,0.2221576243858136,1.0,4.501308486551576
sub25,0.04097288619093842,0.18187066041631095,4.438805203245202
sub45,0.021672573058304813,0.05492318267578626,2.5342252868650497
sub65,0.015029383093964316,0.02645868876067664,1.7604640586546927
sub85,0.012082832448714373,0.015292382304851877,1.2656289301172097
